#                       ----------------------    BROKEN POWER-LAW    ----------------------    ----  GLOBAL  ----
# NAME   NX lgL50 K         AL1            AL2            lgLX         C  CEXP CVAR PNULL C  CEXP CVAR PNULL
NGC5033   26 37.7   15.0+4.5-3.5 0.94+0.56-0.50 1.86+0.19-0.15 40.2+0.2-0.2  33  30  49  0.655  42  28  52  0.052
NGC5055   67 37.1   10.5+3.0-2.3 1.28+0.21-0.22 1.44+0.20-0.19 39.7+0.1-0.1  18  31  58  0.069  25  37  67  0.135
NGC5194  279 36.1   13.7+2.1-1.8 1.43+0.05-0.05 1.58+0.12-0.11 40.1+0.1-0.1  51  57  97  0.549  69  58 132  0.335
NGC5236  431 35.7   13.8+2.2-1.9 1.38+0.04-0.04 1.86+0.17-0.15 39.9+0.1-0.1  51  59 102  0.470  69  63 148  0.613
NGC5253   15 35.6 1.51+0.96-0.64 1.08+0.16-0.17 2.10+0.46-0.42 38.4+0.2-0.2  30  34  31  0.466  35  31  62  0.569
NGC5457  200 36.1 6.42+1.84-1.53 1.43+0.09-0.09 1.90+0.37-0.31 39.3+0.1-0.1  39  47  87  0.404  49  52 119  0.813
NGC5408    8 36.3 0.41+0.35-0.20 1.60+0.18-0.26 1.38+0.36-0.29 38.8+0.3-0.3  21  25  36  0.547  31  10  33 <0.001
NGC5474   18 36.9 3.94+1.87-1.41 0.44+0.36-0.29 1.69+0.26-0.22 39.6+0.2-0.3  28  32  37  0.562  41  23  37  0.003
NGC5713   17 38.1 6.11+3.36-2.29 0.96+0.71-0.53 1.33+0.14-0.14 40.6+0.1-0.1  30  30  26  0.945  39  31  54  0.294
ESO338-    5 37.9 1.22+0.66-0.43 1.00+0.62-0.66 1.07+0.16-0.09 40.3+0.2-0.2  19  22  28  0.552  25  13  36  0.036
NGC6946  135 36.4 7.36+1.86-1.60 1.44+0.11-0.10 1.58+0.16-0.15 39.8+0.1-0.1  34  49  79  0.086  47  56 120  0.406
NGC7331  103 37.1   32.2+5.7-5.0 0.85+0.15-0.15 1.87+0.14-0.12 40.3+0.1-0.1  36  41  70  0.479  43  41  82  0.817
NGC7552   21 37.4 5.17+1.64-1.50 0.51+0.45-0.35 1.17+0.13-0.15 39.9+0.1-0.1  23  32  32  0.120  38  33  48  0.479
 IC5332    8 36.7 1.33+1.07-0.66 1.17+0.36-0.40 2.11+0.47-0.44 38.5+0.2-0.2  20  22  24  0.661  22  18  34  0.450
NGC7793   34 36.0 1.01+0.92-0.50 1.34+0.25-0.31 2.16+0.47-0.50 38.3+0.2-0.2  24  35  45  0.103  28  40  66  0.149
